Count,Timestamp,"What location is this salary for? Select Remote-US if applicable. If Remote Canada, select Canadian HQ location. ",Position Title,"Base Salary $ (please quote in CAD) eg. 120,000 please DO NOT put ranges","Equity value (please quote into monetary value) eg. 20,000","Bonus, including sign on bonus $ (please quote in CAD, 0 if none) eg. 20,000",Other cash or equity,Total Compensation,"Years of Experience,  please include internships and co-ops eg. 1, 2.5, 5","Highest Education Achieved (most relevant, if possible)",Did you attend a tech bootcamp?,What year is this salary applicable for? ,Industry,"If you selected ""Other"" for industry, what industry is it?","Is this company considered to be FAANG/MMANGA (Microsoft, Apple, Amazon, Google, Facebook/Meta)",Company Size,,,Company Name (optional) 
484,9/29/2022 1:12:27,Ontario (ON),Front-end Developer,"$65,000.00",$0.00,$0.00,0,"$65,000.00",0,Bachelor's Degree - Related,No,2022,Education,,No,11-50,,,
485,9/29/2022 14:47:51,Remote - US,Senior Data Engineer,"$142,000.00","$20,000.00",$0.00,,"$162,000.00",3,Bachelor's Degree - Unrelated,No,2022,FinTech,,No,101-200,,,
486,10/1/2022 9:56:53,Ontario (ON),Software Engineer,"$100,000.00","$10,000.00",$0.00,,"$110,000.00",1.5,Bachelor's Degree - Unrelated,Yes,2022,Health & Medicine,,No,501-1000,,,League
487,10/4/2022 1:00:59,British Columbia (BC),Senior Full Stack Developer ,"$95,000.00",$0.00,$0.00,,"$95,000.00",10,Bachelor's Degree - Related,No,2021,Other,Music ,No,< 10,,,
488,10/4/2022 10:19:49,British Columbia (BC),Devops,"$90,000.00","$5,000.00",$0.00,,"$95,000.00",0,Bachelor's Degree - Related,No,2021,Other,Cybersecurity,No,1000+,,,
489,10/4/2022 17:13:04,Manitoba (MB),Senior Software Developer,"$80,000.00",$0.00,$0.00,,"$80,000.00",4,Bachelor's Degree - Related,No,2022,Government,,No,1000+,,,
490,10/4/2022 19:40:39,Quebec (QC),Software Developer,"$70,000.00","$4,200.00","$1,200.00",0,"$75,400.00",4,Bachelor's Degree - Related,No,2022,Consulting,,No,1000+,,,GFT Canada
491,10/5/2022 16:40:35,Remote - US,CTO,"$102,000.00",$0.00,$0.00,,"$102,000.00",4,Bachelor's Degree - Unrelated,No,2022,Other,Real estate,No,< 10,,,
492,10/5/2022 19:35:27,British Columbia (BC),Software Development Engineer 2,"$155,000.00","$10,000.00","$112,000.00",,"$277,000.00",4,Bachelor's Degree - Unrelated,No,2022,Tech,,Yes,1000+,,,Amazon 
493,10/6/2022 2:00:12,Alberta (AB),Intermediate software developer,"$87,500.00",$0.00,"$7,000.00",,"$94,500.00",3,Bachelor's Degree - Related,No,2022,Other,Financial institution,No,501-1000,,,ATB Financial 
494,10/6/2022 6:27:44,Ontario (ON),Software Engineer 2,"$110,000.00","$5,000.00",$0.00,,"$115,000.00",4,Bachelor's Degree - Unrelated,No,2022,Research,,No,501-1000,,,
495,10/7/2022 12:10:26,Ontario (ON),Software Development Engineer 2,"$175,000.00","$25,000.00","$50,000.00",,"$250,000.00",2,Bachelor's Degree - Related,No,2022,Tech,,Yes,1000+,,,Amazon
496,10/11/2022 1:18:36,British Columbia (BC),Senior Software Engineer,"$120,000.00",$0.00,$0.00,0,"$120,000.00",5,Bachelor's Degree - Related,No,2022,Transportation,,No,201-300,,,
497,10/11/2022 6:50:06,Quebec (QC),Developer,"$70,000.00",$0.00,"$1,200.00","4,200","$75,400.00",4.5,Bachelor's Degree - Related,No,2022,Other,insurances,No,1000+,,,
498,10/11/2022 9:58:25,Ontario (ON),Software Engineer,"$160,000.00","$5,000.00",$0.00,0,"$165,000.00",2,Bachelor's Degree - Related,No,2022,Tech,,No,51-100,,,
499,10/14/2022 21:59:03,Ontario (ON),Software Developer,"$86,000.00",$0.00,$0.00,0,"$86,000.00",8,Bachelor's Degree - Related,No,2021,Government,,No,1000+,,,gov of canada
500,10/17/2022 22:18:24,Quebec (QC),Full Stack Developer ,"$87,500.00",$0.00,"$7,775.00",,"$95,275.00",3,Bachelor's Degree - Related,No,2022,Tech,,No,51-100,,,
501,10/18/2022 0:54:14,Alberta (AB),Full Stack Developer ,"$85,000.00",$0.00,"$2,000.00",0,"$87,000.00",2,Masters - Related,No,2022,Consulting,,No,1000+,,,CGI
502,10/18/2022 21:52:26,Ontario (ON),Software Development Engineer in Test,"$95,000.00",$0.00,"$2,000.00",,"$97,000.00",3,Bachelor's Degree - Related,No,2022,eCommerce,,No,101-200,,,
503,10/19/2022 16:38:31,Ontario (ON),Software Engineer Intern,"$50,000.00",$0.00,$0.00,0,"$50,000.00",0,High School Diploma Only,No,2022,Tech,,No,11-50,,,
504,10/25/2022 5:34:23,Ontario (ON),Senior Software Engineer,"$160,000.00","$30,000.00","$10,000.00",,"$200,000.00",15,Bachelor's Degree - Related,No,2022,Health & Medicine,,No,501-1000,,,PointClickCare
505,10/25/2022 7:33:50,Remote - US,Data Scientist,"$180,000.00","$68,000.00","$18,000.00",,"$266,000.00",5,Bachelor's Degree - Related,No,2022,Oil and Gas/Energy,,No,501-1000,,,
506,10/25/2022 8:25:24,Ontario (ON),Software Engineer 2,"$139,000.00","$63,000.00","$43,000.00",,"$245,000.00",5,Bachelor's Degree - Related,No,2022,Transportation,,No,1000+,,,
507,10/25/2022 10:28:58,British Columbia (BC),Software Developer Engineer 1,"$113,800.00","$111,000.00","$67,000.00",9400,"$301,200.00",1.5,Bachelor's Degree - Related,No,2022,Tech,,Yes,1000+,,,Amazon
508,10/25/2022 18:15:17,Ontario (ON),Software Developer,"$85,000.00",$0.00,"$11,000.00",,"$96,000.00",4,Diploma - Related,No,2022,Other,Insurance,No,1000+,,,
509,10/26/2022 15:02:28,Remote - US,Software Engineer,"$216,893.60","$54,223.40","$13,555.85",,"$284,672.85",1,Bachelor's Degree - Related,No,2022,Health & Medicine,,No,501-1000,,,
510,10/31/2022 1:36:29,British Columbia (BC),Software Development,"$95,000.00","$2,500.00","$9,500.00",,"$107,000.00",2,Bachelor's Degree - Related,No,2022,Telecommunication,,No,1000+,,,
511,10/31/2022 16:30:01,Alberta (AB),Software Engineer 1,"$84,000.00","$8,000.00",$0.00,1000,"$93,000.00",0.5,Bachelor's Degree - Unrelated,Yes,2022,Tech,,No,501-1000,,,
512,11/1/2022 16:03:35,British Columbia (BC),Cloud Archictect,"$135,000.00","$10,000.00","$5,000.00",,"$150,000.00",3,Bachelor's Degree - Related,No,2022,Tech,,Yes,1000+,,,
513,11/6/2022 22:14:17,Ontario (ON),Solution Architect ,"$160,000.00",$0.00,$0.00,0,"$160,000.00",20,Bachelor's Degree - Related,No,2022,eCommerce,,No,1000+,,,
514,11/8/2022 8:55:34,Ontario (ON),Technology Engineer,"$45,000.00",$0.00,$0.00,,"$45,000.00",1,Bachelor's Degree - Unrelated,Yes,2022,Tech,,No,501-1000,,,FDM group 
515,11/8/2022 10:59:59,Quebec (QC),Jr Software Developer,"$80,000.00","$4,000.00","$4,000.00",,"$88,000.00",1,Bachelor's Degree - Related,No,2022,Tech,,No,1000+,,,
516,11/8/2022 13:29:54,Ontario (ON),Technology Developer Program (TDP),"$75,000.00",$0.00,"$8,500.00",,"$83,500.00",1.5,Bachelor's Degree - Related,No,2022,Consulting,,No,1000+,,,Accenture 
517,11/9/2022 18:36:14,Ontario (ON),Senior Software Lead,"$86,000.00","$16,000.00","$6,000.00",5000,"$113,000.00",4,Bachelor's Degree - Related,No,2022,Manufacturing,,No,501-1000,,,Brock Solutions
518,11/10/2022 11:18:35,Saskatchewan (SK),Senior Software Developer,"$96,000.00",$0.00,"$14,000.00",0,"$110,000.00",5,Bachelor's Degree - Related,No,2022,FinTech,,No,1000+,,,
519,11/10/2022 12:29:47,British Columbia (BC),Software Engineer - Frontend,"$100,000.00","$140,000.00","$10,000.00",,"$250,000.00",2.5,Bachelor's Degree - Related,No,2021,Tech,,No,1000+,,,
520,11/10/2022 12:31:12,Remote - US,Software Engineer - Frontend,"$100,000.00","$140,000.00","$10,000.00",,"$250,000.00",2.5,Bachelor's Degree - Related,No,2021,Tech,,No,1000+,,,
521,11/11/2022 15:19:11,Remote - US,Software Engineer ,"$130,000.00","$17,500.00","$13,000.00",,"$160,500.00",3,Bachelor's Degree - Related,No,2022,Tech,,No,1000+,,,
522,11/13/2022 22:56:29,British Columbia (BC),Software Engineer In Test,"$105,000.00",$0.00,"$10,000.00",,"$115,000.00",7,Bachelor's Degree - Related,No,2022,B2B,,No,1000+,,,
523,11/15/2022 5:09:19,Quebec (QC),Senior Manager,"$200,000.00","$8,000.00","$24,000.00",,"$232,000.00",12,Masters - Related,No,2022,Consulting,,No,1000+,,,Accenture
524,11/15/2022 5:24:47,Ontario (ON),GIS Developer,"$72,000.00",$0.00,$0.00,,"$72,000.00",2,Certificate - Related,No,2022,Consulting,,No,501-1000,,,Esri Canada
525,11/15/2022 6:04:06,Ontario (ON),Junior Software Developer,"$50,000.00",$0.00,$0.00,,"$50,000.00",0,Bachelor's Degree - Related,Yes,2022,Tech,,No,101-200,,,Vretta Inc.
526,11/21/2022 22:44:56,Alberta (AB),Software Delivery Manager ,"$135,000.00",$0.00,"$13,000.00",7000,"$155,000.00",7,Bachelor's Degree - Unrelated,No,2022,Manufacturing,,No,11-50,,,
527,11/22/2022 4:39:42,Ontario (ON),Senior Software Engineer,"$195,000.00","$200,000.00","$64,000.00",,"$459,000.00",8,Masters - Unrelated,No,2022,Tech,,Yes,1000+,,,Meta
528,11/22/2022 7:32:46,Quebec (QC),Developer Analyst,"$83,000.00",$0.00,"$10,000.00",0,"$93,000.00",3,Certificate - Related,No,2022,Tech,,No,1000+,,,Telus
